Date,Workout name,Workout type,Set number ,Exercise name,Equipment,Execution mode,Number of repetitions,Charge (kg),Rest time (sec),Involved muscles
16-04-2023 00:00,UPPER,UPPER BODY,1,Overhead Press,Barbell,bilateral,5,50.0,,"['Front Deltoid', 'Triceps']"
16-04-2023 00:00,UPPER,UPPER BODY,2,Overhead Press,Barbell,bilateral,5,50.0,,"['Front Deltoid', 'Triceps']"
16-04-2023 00:00,UPPER,UPPER BODY,3,Overhead Press,Barbell,bilateral,6,45.0,,"['Front Deltoid', 'Triceps']"
16-04-2023 00:00,UPPER,UPPER BODY,4,Overhead Press,Barbell,bilateral,6,40.0,,"['Front Deltoid', 'Triceps']"
16-04-2023 00:00,UPPER,UPPER BODY,1,Pull-Up,Bodyweight,bilateral,8,10.0,,"['Latissimus Dorsi', 'Biceps']"
16-04-2023 00:00,UPPER,UPPER BODY,2,Pull-Up,Bodyweight,bilateral,8,10.0,,"['Latissimus Dorsi', 'Biceps']"
16-04-2023 00:00,UPPER,UPPER BODY,3,Pull-Up,Bodyweight,bilateral,8,10.0,,"['Latissimus Dorsi', 'Biceps']"
16-04-2023 00:00,UPPER,UPPER BODY,4,Pull-Up,Bodyweight,bilateral,10,0.0,,"['Latissimus Dorsi', 'Biceps']"
16-04-2023 00:00,UPPER,UPPER BODY,1,Chest Fly,Cable,unilateral,10,7.5,,"['Chest', 'Front Deltoid']"
16-04-2023 00:00,UPPER,UPPER BODY,2,Chest Fly,Cable,unilateral,10,7.5,,"['Chest', 'Front Deltoid']"
16-04-2023 00:00,UPPER,UPPER BODY,3,Chest Fly,Cable,unilateral,10,7.5,,"['Chest', 'Front Deltoid']"
16-04-2023 00:00,UPPER,UPPER BODY,1,Tricep Extension,Cable,bilateral,10,27.5,,['Triceps']
16-04-2023 00:00,UPPER,UPPER BODY,2,Tricep Extension,Cable,bilateral,10,27.5,,['Triceps']
16-04-2023 00:00,UPPER,UPPER BODY,3,Tricep Extension,Cable,bilateral,10,27.5,,['Triceps']
