Date,Workout name,Set number ,Exercise name,Equipment,Number of repetitions,Charge (kg),Rest time (sec)
31-10-2024 17 h,Épaules / bras,1,Dvlp militaire smith,Smith Machine,12,40,
31-10-2024 17 h,Épaules / bras,2,Dvlp militaire smith,Smith Machine,12,40,
31-10-2024 17 h,Épaules / bras,3,Dvlp militaire smith,Smith Machine,12,40,
31-10-2024 17 h,Épaules / bras,4,Dvlp militaire smith,Smith Machine,12,40,
31-10-2024 17 h,Épaules / bras,1,Élévt latérales,Haltère,12,12,
31-10-2024 17 h,Épaules / bras,2,Élévt latérales,Haltère,12,12,
31-10-2024 17 h,Épaules / bras,3,Élévt latérales,Haltère,12,12,
31-10-2024 17 h,Épaules / bras,4,Élévt latérales,Haltère,12,12,
31-10-2024 17 h,Épaules / bras,1,Curl incliné,Haltère,12,14,
31-10-2024 17 h,Épaules / bras,2,Curl incliné,Haltère,12,14,
31-10-2024 17 h,Épaules / bras,3,Curl incliné,Haltère,12,14,
31-10-2024 17 h,Épaules / bras,4,Curl incliné,Haltère,12,14,
31-10-2024 17 h,Épaules / bras,1,Extensions triceps,Machine,12,45,
31-10-2024 17 h,Épaules / bras,2,Extensions triceps,Machine,12,45,
31-10-2024 17 h,Épaules / bras,3,Extensions triceps,Machine,12,45,
31-10-2024 17 h,Épaules / bras,1,Curl marteau,Haltère,12,20,
31-10-2024 17 h,Épaules / bras,2,Curl marteau,Haltère,12,20,
31-10-2024 17 h,Épaules / bras,3,Curl marteau,Haltère,12,20,
31-10-2024 17 h,Épaules / bras,4,Curl marteau,Haltère,12,20,
31-10-2024 17 h,Épaules / bras,1,Élévations latérales poulie,Poulie,12,10,
31-10-2024 17 h,Épaules / bras,2,Élévations latérales poulie,Poulie,15,5,
31-10-2024 17 h,Épaules / bras,3,Élévations latérales poulie,Poulie,15,5,
31-10-2024 17 h,Épaules / bras,4,Élévations latérales poulie,Poulie,15,5,
31-10-2024 17 h,Épaules / bras,4,Extensions triceps,Machine,12,50,
31-10-2024 17 h,Épaules / bras,5,Extensions triceps,Machine,12,50,
31-10-2024 17 h,Épaules / bras,6,Extensions triceps,Machine,12,50,
