Date,Workout name,Workout type,Set number ,Exercise name,Equipment,Execution mode,Number of repetitions,Charge (kg),Rest time (sec),Remarks
24-09-2022,LEG DAY,LOWER BODY,1,Squat,Barbell,bilateral,8.0,75.0,150.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,2,Squat,Barbell,bilateral,8.0,75.0,150.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,3,Squat,Barbell,bilateral,8.0,75.0,150.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,4,Squat,Barbell,bilateral,8.0,75.0,150.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,1,Romanian Deadlift,Barbell,bilateral,10.0,60.0,105.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,2,Romanian Deadlift,Barbell,bilateral,10.0,60.0,105.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,3,Romanian Deadlift,Barbell,bilateral,10.0,60.0,105.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,4,Romanian Deadlift,Barbell,bilateral,10.0,60.0,105.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,1,Lunges,Dumbell,unilateral,8.0,8.0,120.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,2,Lunges,Dumbell,unilateral,8.0,8.0,120.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,3,Lunges,Dumbell,unilateral,8.0,8.0,120.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,4,Lunges,Dumbell,unilateral,8.0,8.0,120.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,1,Abductors Machine,Machine,bilateral,10.0,25.0,90.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,1,Adductors Machine,Machine,bilateral,10.0,25.0,90.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,2,Abductors Machine,Machine,bilateral,10.0,25.0,90.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,2,Adductors Machine,Machine,bilateral,10.0,25.0,90.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,3,Abductors Machine,Machine,bilateral,10.0,25.0,90.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,3,Adductors Machine,Machine,bilateral,10.0,25.0,90.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,4,Abductors Machine,Machine,bilateral,10.0,25.0,90.0,High-bar squat with belt. Left hamstring pain during deadlifts.
24-09-2022,LEG DAY,LOWER BODY,4,Adductors Machine,Machine,bilateral,10.0,25.0,90.0,High-bar squat with belt. Left hamstring pain during deadlifts.
25-09-2022,PECS / DOS,SPLIT,1,Chest Fly,Cable,bilateral,10.0,15.0,45.0,durée séance : 1h20
25-09-2022,PECS / DOS,SPLIT,2,Chest Fly,Cable,bilateral,10.0,15.0,45.0,durée séance : 1h20
25-09-2022,PECS / DOS,SPLIT,3,Chest Fly,Cable,bilateral,10.0,10.0,45.0,durée séance : 1h20
25-09-2022,PECS / DOS,SPLIT,4,Chest Fly,Cable,bilateral,10.0,10.0,45.0,durée séance : 1h20
25-09-2022,PECS / DOS,SPLIT,1,Incline Bench Press,Dumbell,bilateral,10.0,18.0,120.0,durée séance : 1h20
